Character,Pinyin,Meaning,Type,Level,Phrase Chinese,Phrase Pinyin,Phrase Spanish,Suggested Image Path
分钟,fēnzhōng,Minuto,Sustantivo,HSK 1,请等我十分钟。,Qǐng děng wǒ shí fēnzhōng.,"Por favor, espérame diez minutos.",images-chosen-chinese/分钟.png
今天,jīntiān,Hoy,Sustantivo,HSK 1,今天的天气很好。,Jīntiān de tiānqì hěn hǎo.,El tiempo de hoy está muy bien.,images-chosen-chinese/今天.png
明天,míngtiān,Mañana,Sustantivo,HSK 1,明天我们去买东西。,Míngtiān wǒmen qù mǎi dōngxi.,Mañana iremos de compras.,images-chosen-chinese/明天.png
昨天,zuótiān,Ayer,Sustantivo,HSK 1,昨天在下雨。,Zuótiān zài xiàyǔ.,Ayer estuvo lloviendo.,images-chosen-chinese/昨天.png
上午,shàngwǔ,Por la mañana,Sustantivo,HSK 1,我上午十点去学校。,Wǒ shàngwǔ shí diǎn qù xuéxiào.,Voy a la escuela a las diez de la mañana.,images-chosen-chinese/上午.png
中午,zhōngwǔ,Mediodía,Sustantivo,HSK 1,中午我们在饭馆吃饭。,Zhōngwǔ wǒmen zài fànguǎn chī fàn.,Al mediodía comemos en el restaurante.,images-chosen-chinese/中午.png
下午,xiàwǔ,Tarde,Sustantivo,HSK 1,我下午四点看电影。,Wǒ xiàwǔ sì diǎn kàn diànyǐng.,Veo una película a las cuatro de la tarde.,images-chosen-chinese/下午.png
椅子,yǐzi,Silla,Sustantivo,HSK 1,请坐在这把椅子上。,Qǐng zuò zài zhè bǎ yǐzi shàng.,"Por favor, siéntate en esta silla.",images-chosen-chinese/椅子.png
茶,chá,Té,Sustantivo,HSK 1,请喝热茶。,Qǐng hē rè chá.,"Por favor, bebe té caliente.",images-chosen-chinese/茶.png
水,shuǐ,Agua,Sustantivo,HSK 1,我想喝点儿水。,Wǒ xiǎng hē diǎnr shuǐ.,Quiero beber un poco de agua.,images-chosen-chinese/水.png
菜,cài,Plato,Sustantivo,HSK 1,妈妈做的菜很好吃。,Māma zuò de cài hěn hǎochī.,Los platos que hace mamá están muy ricos.,images-chosen-chinese/菜.png
苹果,píngguǒ,Manzana,Sustantivo,HSK 1,我买了一些苹果。,Wǒ mǎi le yīxiē píngguǒ.,He comprado algunas manzanas.,images-chosen-chinese/苹果.png
汉语,Hànyǔ,Chino,Sustantivo,HSK 1,我们的老师教汉语。,Wǒmen de lǎoshī jiāo Hànyǔ.,Nuestro profesor enseña chino.,images-chosen-chinese/汉语.png
电视,diànshì,Televisión,Sustantivo,HSK 1,孩子们在看电视。,Háizimen zài kàn diànshì.,Los niños están viendo la televisión.,images-chosen-chinese/电视.png
出租车,chūzūchē,Taxi,Sustantivo,HSK 1,我们坐出租车去火车站。,Wǒmen zuò chūzūchē qù huǒchēzhàn.,Vamos en taxi a la estación de tren.,images-chosen-chinese/出租车.png
岁,suì,Años,Clasificador,HSK 1,我儿子今年六岁。,Wǒ érzi jīnnián liù suì.,Mi hijo tiene seis años este año.,images-chosen-chinese/岁.png
本,běn,Tomo (libros),Clasificador,HSK 1,桌子上有一本书。,Zhuōzi shàng yǒu yī běn shū.,Hay un libro sobre la mesa.,images-chosen-chinese/本.png
些,xiē,Algunos,Clasificador,HSK 1,these苹果很好吃。,Zhèxiē píngguǒ hěn hǎochī.,Estas manzanas están muy ricas.,images-chosen-chinese/些.png
块,kuài,Pedazo,Clasificador,HSK 1,这一块肉很好。,Zhè yī kuài ròu hěn hǎo.,Este trozo de carne está muy bueno.,images-chosen-chinese/块.png
五,wǔ,Cinco,Número,HSK 1,我在北京住五天。,Wǒ zài Běijīng zhù wǔ tiān.,Me quedo en Pekín cinco días.,images-chosen-chinese/五.png
很,hěn,Muy,Adverbio,HSK 1,今天的空气很好。,Jīntiān de kōngqì hěn hǎo.,El aire de hoy está muy bueno.,images-chosen-chinese/很.png
和,hé,Y,Conjunción,HSK 1,我和他是好朋友。,Wǒ hé tā ...,Él y yo somos buenos amigos.,images-chosen-chinese/和.png
在,zài,En,Preposición,HSK 1,爸爸在家里睡觉。,Bàba zài ...,Papá está durmiendo en casa.,images-chosen-chinese/在.png
吗,ma,Interrogativa,Partícula,HSK 1,你喜欢中国菜吗？,Nǐ xǐhuan ...,¿Te gusta la comida china?,images-chosen-chinese/吗.png
呢,ne,Sujetiva,Partícula,HSK 1,我很好，你呢？,"Wǒ hěn hǎo, nǐ ne?","Estoy muy bien, ¿y tú?",images-chosen-chinese/呢.png
大,dà,Grande,Adjetivo,HSK 1,这个苹果很大。,Zhège píngguǒ hěn dà.,Esta manzana es muy grande.,images-chosen-chinese/大.png
小,xiǎo,Pequeño,Adjetivo,HSK 1,那只猫很小。,Nà zhī māo hěn xiǎo.,Aquel gato es muy pequeño.,images-chosen-chinese/小.png
多,duō,Mucho,Adjetivo,HSK 1,学校里有很多人。,Xuéxiào lǐ yǒu hěn duō rén.,Hay mucha gente en la escuela.,images-chosen-chinese/多.png
